Date,Lobbyist Name,Firm Name,Description,Amount,Payee Name,Payee City,Payee State,Payee Zip,Experts or Issues,Activity Type,Lobbyist Type,Activity Id,From Filing
06/30/2021,"DoorDash, Inc.",,"Community engagement, outreach, consulting",8500.00,Elevate Public Affairs,Sacramento,CA,95814,"Payment To Influence Municipal Decision
Police Code - Third Party Food Delivery Services
",PaymentsToInfluence,expenditure,eb59b23c-c26f-42a8-9ca2-d80af30f14a6,03f4bc2a-a2d6-4723-bdc9-a89235eb656a
06/01/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,77aad37c-17b4-4896-8f27-b045c31f433e,17448187-8e68-4521-ba41-e4dbae15617c
06/29/2021,KID SAFE SF,,Poster Design,1300.00,AB Art & Design,San Francisco,CA,94131,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets
",PaymentsToInfluence,expenditure,79698958-d32a-43ec-95ee-43cad81d6d5c,f4017010-0a8a-49f3-b40b-13be5340ebcd
07/01/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,6753477b-133d-4106-afc4-c9f95f227c80,9dacf4bd-d69e-4358-85df-cf085ae5766f
10/15/2021,KID SAFE SF,,Screen Printing/Graphic Design,1931.35,IN AGAINST THE GRAIN,San Francisco,CA,94116,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets
",PaymentsToInfluence,expenditure,9c3b43c4-e9f5-48dd-9560-3e131e8a8caf,00161258-98c9-4642-ba08-2b0f8765a854
10/01/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,a481af42-30bc-424b-84e0-2b80ac30cb58,07a986a9-1383-417b-9e69-40591bd67c32
01/31/2022,Corp. Fine Arts Museums of SF,,Grassroots lobbying,15000.00,Platinum Advisors,San Francisco,CA,94133,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,8c1deb5b-2dd5-406c-bd8c-5475df34f31e,831fa80f-29bf-4e6d-b7b1-1aa77b17dd5d
01/31/2022,GROW SF,,Advertisements,10000.00,Bearstar Strategies Inc.,San Francisco,CA,94104,"Payment To Influence Municipal Decision
Recall Supression
---
Payment To Influence Municipal Decision
Split Appointments
",PaymentsToInfluence,expenditure,a4fe6ae7-bab0-4e5b-9f43-6e7401058d2f,7c86b699-4579-4c28-af65-448162cb43c4
01/28/2022,Corp. Fine Arts Museums of SF,,Grassroots mobilization platform,4000.00,Phone2Action,Arlington,VA,22209,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,0341bba3-c777-423f-9a2d-f0f176dc6022,831fa80f-29bf-4e6d-b7b1-1aa77b17dd5d
01/28/2022,GROW SF,,"Web design, branding consulting, web services",5500.00,Yosemite Consulting,Los Angeles,CA,90021,"Payment To Influence Municipal Decision
Split Appointments
---
Payment To Influence Municipal Decision
Recall Supression
",PaymentsToInfluence,expenditure,77e0ad86-56d5-479f-8b56-6c9f6af5be0d,7c86b699-4579-4c28-af65-448162cb43c4
01/26/2022,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,5ff8d456-2e76-4523-aaae-0b5bdbc75e6c,c91f8753-e0b1-458c-8a85-7f82f4dc76e1
01/26/2022,GROW SF,,Video Production,13600.44,Bearstar Strategies Inc.,San Francisco,CA,94104,"Payment To Influence Municipal Decision
Recall Supression
---
Payment To Influence Municipal Decision
Split Appointments
",PaymentsToInfluence,expenditure,08163f54-496c-48ec-896b-0a5a3a0f9419,7c86b699-4579-4c28-af65-448162cb43c4
01/25/2022,GROW SF,,Advertisements,12500.00,Yosemite Consulting,Los Angeles,CA,90021,"Payment To Influence Municipal Decision
Split Appointments
---
Payment To Influence Municipal Decision
Recall Supression
",PaymentsToInfluence,expenditure,fd9f5877-466a-42cf-a4d1-0ee686021bfb,7c86b699-4579-4c28-af65-448162cb43c4
01/01/2022,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,8987e1df-d8a5-4ab8-ba9e-7ff7369bc096,c91f8753-e0b1-458c-8a85-7f82f4dc76e1
11/30/2021,GROW SF,,Create Video,12029.00,The Hooligans Agency,Los Angeles,CA,90036,"Payment To Influence Municipal Decision
Support Housing at 469 Stevenson
",PaymentsToInfluence,expenditure,d6659cd9-ffcc-4646-8aba-3e3b4a3eb32f,2929ee37-1087-4993-8a7a-a74af20efc6a
11/02/2021,KID SAFE SF,,Software services for petitions,1072.00,Active Network,Dallas,TX,75201,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets
",PaymentsToInfluence,expenditure,88256ec6-920b-4988-8396-86b559c2e561,2bba6958-7290-4879-a258-2fefc58bb101
11/01/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,c431c757-2028-489a-9f20-1dd3dd29bdbc,0e2bd9b3-a027-4bc0-979a-38c9244c66ca
10/31/2021,Corp. Fine Arts Museums of SF,,Website development ,5000.00,Brand Motive Agency,Roseville,CA,95678,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,15a6d895-d746-4802-a7e1-4ebd079be5c0,70a7abce-e274-4c5e-841b-74c71f702346
10/31/2021,Corp. Fine Arts Museums of SF,,Grassroots mobilization platform,6000.00,Phone2Action,Arlington,VA,22209,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,edb84784-3085-4602-b8cb-17400f3cd273,70a7abce-e274-4c5e-841b-74c71f702346
10/31/2021,Corp. Fine Arts Museums of SF,,Grassroots lobbying,1935.48,Platinum Advisors,San Francisco,CA,94133,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,1cc50ef5-e793-41a7-bbd5-fe58de4a0b06,70a7abce-e274-4c5e-841b-74c71f702346
11/30/2021,Corp. Fine Arts Museums of SF,,Grassroots lobbying,15000.00,Platinum Advisors,San Francisco,CA,94133,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,0139bfac-3eff-47d1-9ec2-e0ee2671d8ed,7c2c5ee0-5de7-4119-8d94-eaa95564b85a
12/01/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,4760f52d-8ed3-4e06-9cdb-046d1dfe9163,a860dc74-6e8d-42c3-9f0e-e0bbe1822a34
12/14/2021,KID SAFE SF,,Software Services for petitions,1144.00,Active Network,Dallas,TX,75201,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets
",PaymentsToInfluence,expenditure,50651c5f-2b88-4535-bbf9-e59cbf535d72,d08c25cf-fcfb-465f-b9c3-cdb1495ea163
12/09/2021,KID SAFE SF,,Materials for Great Hauntway event ,1492.72,"Kelly, Joshua",San Francisco,CA,94116,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets
",PaymentsToInfluence,expenditure,b1813b62-0368-4d30-b098-6a314e35daff,d08c25cf-fcfb-465f-b9c3-cdb1495ea163
12/09/2021,KID SAFE SF,,Materials for Great Hauntway event,1684.56,"Lux, Lucas",San Francisco,CA,94122,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets
",PaymentsToInfluence,expenditure,73f41ca7-a224-4f8a-9882-a549d556099b,d08c25cf-fcfb-465f-b9c3-cdb1495ea163
12/31/2021,Corp. Fine Arts Museums of SF,,Grassroots lobbying,15000.00,Platinum Advisors,San Francisco,CA,94133,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,8d81cbaa-224b-4102-9974-f5f709402c59,669e8799-c7cc-4af3-b238-af4ed9f834fd
02/24/2022,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,cb8fda86-1dc1-4d19-bddc-1c3a8f32e3fb,5b2f198a-0c3d-4521-975c-6e73f116863d
02/15/2022,KID SAFE SF,,T-shirt printing ,1395.56,"Babylon Burning Screen Printing, Inc. ", San Francisco,CA,94107,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets
",PaymentsToInfluence,expenditure,ee9c872f-dc31-4fe3-8803-b8d1ecb821e6,c0bb55e7-5ef1-409d-a5e5-92585cb7aa3b
04/30/2022,Corp. Fine Arts Museums of SF,,Grassroots mobilization platform,2000.00,Phone2Action,Arlington,VA,22209,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,ddb878df-b2db-43a4-96cd-babff72d7b15,e98efff8-c62c-4410-b407-f344cc51b9e9
04/30/2022,Corp. Fine Arts Museums of SF,,Grassroots lobbying,15000.00,Platinum Advisors,San Francisco,CA,94133,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,7e522eeb-6343-4336-a7e0-be5f1a8008be,e98efff8-c62c-4410-b407-f344cc51b9e9
02/28/2022,Corp. Fine Arts Museums of SF,,Grassroots lobbying,15000.00,Platinum Advisors,San Francisco,CA,94133,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,3ae10000-3e02-48ab-9f52-1918bc6985c1,e825e2c3-f20c-4e96-8165-a8d72881dc2d
02/01/2022,Corp. Fine Arts Museums of SF,,Digital ads,55000.00,Pacific Campaign House,San Francisco,CA,94105,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,880cb6c8-4d14-4c44-b007-1862f9e1b307,e825e2c3-f20c-4e96-8165-a8d72881dc2d
03/31/2022,Corp. Fine Arts Museums of SF,,Grassroots mobilization platform,2000.00,Phone2Action,Arlington,VA,22209,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,3d64ab76-2d86-452f-92e9-1c76b7cd5f48,9801b71d-9a6f-493d-b367-093d2f2407fe
03/31/2022,Corp. Fine Arts Museums of SF,,Grassroots lobbying,15000.00,Platinum Advisors,San Francisco,CA,94133,"Payment To Influence Municipal Decision
Golden Gate Park Transportation Issues
",PaymentsToInfluence,expenditure,8adeb663-7f13-4266-a8ee-fca92577107d,9801b71d-9a6f-493d-b367-093d2f2407fe
04/08/2022,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,025a85fd-f78b-40ac-bfea-57337166c4e5,57b3a1ad-3f2d-4db6-a244-93372a6bf7c7
05/22/2022,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,85bba4e9-23e6-4a0d-8cc9-b15848f6f11b,1bf6f15e-3804-47d3-870d-57a7f92fe1ce
05/01/2022,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,18bc89c7-88a1-4ab9-a97b-857ee6af2a4e,1bf6f15e-3804-47d3-870d-57a7f92fe1ce
07/18/2022,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,ddf5d324-21f5-41f7-ae3c-4b76b5747593,f0c0315f-fbb9-4cec-88d0-3d8e64290777
07/04/2022,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance
",PaymentsToInfluence,expenditure,de93d180-ad2d-4394-ba57-ed8248eb8a16,f0c0315f-fbb9-4cec-88d0-3d8e64290777
05/19/2021,KID SAFE SF,,Ad buy,19999.01,Fireside Campaigns,Washington,DC,20006,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets",PaymentsToInfluence,expenditure,898821b6-dd94-4bc6-9b93-54f9d720387c,c36559e8-a7f0-4294-add5-a1bbc6472df9
05/13/2021,KID SAFE SF,,Band/entertainment for rally,3200.00,City of Trees Entertainment LLC,SACRAMENTO,CA,95818,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets",PaymentsToInfluence,expenditure,53977ea2-4950-4aa5-a066-40d6857f8758,c36559e8-a7f0-4294-add5-a1bbc6472df9
05/01/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,ed82aea4-9d16-4b71-a382-83f4995c9232,ee26e5de-0e38-437e-9b36-e341cc805f57
04/30/2021,KID SAFE SF,,Ad buy,50001.00,Fireside Campaigns,Washington,DC,20006,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets",PaymentsToInfluence,expenditure,886241a9-7518-44b2-9b33-932324cc841b,df6849d8-036b-4dfa-8804-9ce5a7868969
04/29/2021,KID SAFE SF,,Ad buy,49999.99,Fireside Campaigns,Washington,DC,20006,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets",PaymentsToInfluence,expenditure,8787984c-4ce5-490b-9884-5b3d06370d08,df6849d8-036b-4dfa-8804-9ce5a7868969
04/28/2021,KID SAFE SF,,Ad design,12500.00,The Hooligans AG,Washington,DC,20009,"Payment To Influence Municipal Decision
Golden Gate Park Slow Streets",PaymentsToInfluence,expenditure,7e009ef6-4acd-4c4c-9d89-0183fc78f572,df6849d8-036b-4dfa-8804-9ce5a7868969
04/01/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,e9e85fd4-40fa-4f91-aaa8-25d9e862f5d3,6dc74ff1-e3d8-47cf-8609-82012e1e7df8
03/01/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,14b402fa-b19f-4edf-8563-31986ae03c85,49a0e659-e434-4ee5-b8d4-8cdd72fb777e
02/02/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,fb7cd05a-d021-4c7c-adb9-247fdf075051,39e38ed4-b0b9-4680-86fd-434fcbcae29c
01/01/2021,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,62632efb-21a6-4ba0-8d51-f5f69c28bb3f,b9dbc2f6-7500-4a88-8d85-bfc2dfc1553f
12/21/2020,CA Hotel & Lodging Association,,"Public relations, research, outreach and consulting",10000.00,Singer Associates,San Francisco,CA,94108,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,5fd32c3d-2c89-4bcb-bd73-d9410e71dbbd,50cf8e01-42e8-4af3-b84a-a25f03b9b1e0
12/09/2020,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,876d6dd1-ded3-42a5-b6b6-3b46dec2cfeb,50cf8e01-42e8-4af3-b84a-a25f03b9b1e0
11/30/2020,CA Hotel & Lodging Association,,"Public relations, research, outreach and consulting",10000.00,Singer Associates,San Francisco,CA,94108,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,4dc2f549-08a7-4925-b78f-9ce173e945d3,af29a86d-cc6e-4101-b9d9-2cf2713c0b29
11/02/2020,CA Hotel & Lodging Association,,"Public relations, research, outreach and consulting",10000.00,Singer Associates,San Francisco,CA,94108,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,059cb22b-956e-42a1-90cf-abe0f0128f0c,af29a86d-cc6e-4101-b9d9-2cf2713c0b29
10/22/2020,CA Hotel & Lodging Association,,Digital advertising,15000.00,Plus Communications,Arlington,VA,22201,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,68cadbbd-75dd-477a-8268-aa9af678f0ef,2a273d37-38a0-4757-a624-d45690cf1a7e
10/21/2020,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,38f841e0-765c-4b03-bbec-fe0c0511abb6,2a273d37-38a0-4757-a624-d45690cf1a7e
10/02/2020,CA Hotel & Lodging Association,,Digital advertising,42100.00,Plus Communications,Arlington,VA,22201,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,ab9c36b2-aabc-4345-9e6e-e24504690573,2a273d37-38a0-4757-a624-d45690cf1a7e
10/01/2020,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,af5f26c9-214e-40b4-9f10-1f665bd957c1,2a273d37-38a0-4757-a624-d45690cf1a7e
09/30/2020,CA Hotel & Lodging Association,,"Public relations, research, outreach and consulting",10000.00,Singer Associates,San Francisco,CA,94108,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,4395bb4a-0818-4d1c-b4a3-98aa2f15859d,f8af845b-7cfb-49e5-a0aa-b232938b7506
09/28/2020,"Mission for All, LLC",,CANVASSING,1498.33,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,1b20568f-f88c-4da9-b947-4065aec70b31,6842b4a9-e0b0-4024-b3e4-5a79a4e3890b
09/17/2020,"Mission for All, LLC",,CANVASSING,2640.79,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,9f9f949e-7462-4573-9b27-8dfa76342468,6842b4a9-e0b0-4024-b3e4-5a79a4e3890b
09/14/2020,"Mission for All, LLC",,CANVASSING,1171.52,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,cd311f0e-0f69-41c9-a3ef-b7188376d80d,6842b4a9-e0b0-4024-b3e4-5a79a4e3890b
09/10/2020,"Mission for All, LLC",,CANVASSING,3191.08,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,e6f724e6-fdff-4366-9aaa-3f084e8d25fa,6842b4a9-e0b0-4024-b3e4-5a79a4e3890b
09/10/2020,"Mission for All, LLC",,CANVASSING,3282.61,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,71fe48a5-bb11-4857-8a82-3b1df07b64b1,6842b4a9-e0b0-4024-b3e4-5a79a4e3890b
09/04/2020,"Marriott International, Inc.",,Payment to California Hotel & Lodging Association in connection with effort to influence the San Francisco Cleaning Ordinance,14000.00,California Hotel and Lodging Association,Sacramento,CA,95816,"Payment To Influence Municipal Decision
Cleaning and Disease Prevention Standards in Tourist Hotels and Large Commercial Office Buildings",PaymentsToInfluence,expenditure,449541a7-cda9-4735-816d-e56e5233e44e,795f1f45-3d87-42a5-8e60-cc50f3c34949
09/03/2020,"Mission for All, LLC",,CANVASSING,2874.92,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,0563d925-cfdb-4baa-ba57-ffdcc669767f,6842b4a9-e0b0-4024-b3e4-5a79a4e3890b
09/02/2020,"Mission for All, LLC",,CONSULTING,5000.00,"SALAZAR, MITCHELL",San Francisco,CA,94131,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,a6523bc8-f956-4180-9776-a2e7fb60b10d,6842b4a9-e0b0-4024-b3e4-5a79a4e3890b
09/02/2020,"Mission for All, LLC",,CONSULTING,4000.00,"ROMERO, ROXANNE",SAN FRANCISCO,CA,94127,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,78a15841-0e25-4714-8ab0-8ea707ebbccb,6842b4a9-e0b0-4024-b3e4-5a79a4e3890b
09/01/2020,CA Hotel & Lodging Association,,"Public relations, research, outreach and consulting",2500.00,Singer Associates,San Francisco,CA,94108,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,861018c4-e222-4742-be14-21ff06341038,f8af845b-7cfb-49e5-a0aa-b232938b7506
08/31/2020,CA Hotel & Lodging Association,,"Text messaging, advocacy module",20000.00,Phone2Action,Arlington,VA,22209,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,ff73a518-beb3-4d26-ab27-acccc883671e,b906da67-9375-4760-945b-a66f1a36d639
08/27/2020,"Mission for All, LLC",,CANVASSING,4127.77,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,885e8040-e5cd-40a6-b5e6-5a226be34204,26242f28-631c-4b92-bf5c-381c74f78172
08/20/2020,"Mission for All, LLC",,CANVASSING,3252.28,PAYCHEX,ROCHESTOR,NY,14620,"Payment To Influence Municipal Decision
SUPPORT DEVELOPMENT PROPOSALS FOR 1979 MISSION STREET",PaymentsToInfluence,expenditure,e53006ee-5027-44cb-85a9-b6417413ff44,26242f28-631c-4b92-bf5c-381c74f78172
08/19/2020,CA Hotel & Lodging Association,,Consulting services,7000.00,Platinum Advisors,Sacramento,CA,95814,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,3256e149-ac8a-47c3-8f36-40d949b280bc,b906da67-9375-4760-945b-a66f1a36d639
08/19/2020,CA Hotel & Lodging Association,,"Public relations, research, outreach and consulting",7500.00,Singer Associates,San Francisco,CA,94108,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,52919c0f-e423-4c97-8e58-67ece910bd62,b906da67-9375-4760-945b-a66f1a36d639
08/19/2020,CA Hotel & Lodging Association,,Compliance reporting and consulting,4474.00,Nielsen Merksamer,San Rafael,CA,94901,"Payment To Influence Municipal Decision
SF Cleaning Ordinance",PaymentsToInfluence,expenditure,c8ff7b05-f9d3-4411-a045-f7e7b42cd013,b906da67-9375-4760-945b-a66f1a36d639
08/18/2020,InterContinental Hotels Group,,Payment to California Hotel & Lodging Association in connection with effort to influence San Francisco Cleaning Ordinance,10000.00,California Hotel and Lodging Association,Sacramento,CA,95816,"Payment To Influence Municipal Decision
San Francisco Cleaning Ordinance",PaymentsToInfluence,expenditure,c7c6049e-5325-431d-90ab-54d03b91a861,553f2209-69fd-4e2c-9031-f7c484ab38ed
